week_start,week_end,organic_share_pct,speculative_share_pct,unknown_share_pct,method_version,anchor_source,confidence,notes
2025-10-20,2025-10-26,32,58,10,v0.1,memos/x402-value-capture-analysis.md:467,low,"Early hype period; inferred split"
2025-10-27,2025-11-02,8,86,6,v0.1,memos/x402-value-capture-analysis.md:467,low,"Peak meme/speculative expansion"
2025-11-03,2025-11-09,10,84,6,v0.1,memos/x402-value-capture-analysis.md:467,low,"Speculative dominance persists"
2025-11-10,2025-11-16,12,80,8,v0.1,memos/x402-research-memo.md:128,low,"Post-peak stabilization start"
2025-11-17,2025-11-23,14,78,8,v0.1,memos/x402-research-memo.md:128,low,"Declining speculative intensity"
2025-11-24,2025-11-30,16,74,10,v0.1,memos/x402-research-memo.md:128,low,"Mix still speculative-heavy"
2025-12-01,2025-12-07,18,70,12,v0.1,memos/x402-value-capture-analysis.md:447,low,"Recovery period with uncertain labels"
2025-12-08,2025-12-14,20,66,14,v0.1,https://www.x402.org/writing/x402-v2-launch,low,"V2 launch period"
2025-12-15,2025-12-21,18,68,14,v0.1,memos/x402-value-capture-analysis.md:447,low,"Volume jump under review"
2025-12-22,2025-12-28,15,71,14,v0.1,memos/x402-value-capture-analysis.md:447,low,"Large month-end distortion"
2025-12-29,2026-01-04,12,74,14,v0.1,memos/agent-fintech-intersection-deep-dive.md:181,low,"Speculative flow still elevated"
2026-01-05,2026-01-11,8,78,14,v0.1,memos/agent-fintech-intersection-deep-dive.md:181,low,"Approaching memo anchor period"
2026-01-12,2026-01-18,4,82,14,v0.1,memos/agent-fintech-intersection-deep-dive.md:181,medium,"Anchor row for memo claim '~4% organic'"
2026-01-19,2026-01-25,6,80,14,v0.1,memos/agent-fintech-intersection-deep-dive.md:208,low,"Provisional post-anchor estimate"
2026-01-26,2026-02-01,7,78,15,v0.1,memos/investment-opportunities.md:348,low,"Trend still needs direct on-chain labeling"
2026-02-02,2026-02-09,9,75,16,v0.1,memos/investment-committee-memo-agent-fintech-infrastructure-2026-02-09.md:65,low,"Current-week provisional estimate pending full classifier build"
