display_category,chart_category_key,cohort,start_year,companies
B2B Payments,"B2B Payments\n(Stripe, Adyen, Checkout)","Early Internet (1998-2007)",1998,"Stripe; Adyen; Checkout.com"
Neobanks,"Neobanks\n(Nubank, Revolut, Chime)","Neobank Wave (2013-2016)",2013,"Nubank; Revolut; Chime"
Crypto / Blockchain,"Crypto / Blockchain\n(Coinbase, Circle, Chainalysis)","Post-Crisis + Crypto (2009-2013)",2012,"Coinbase; Circle; Chainalysis"
BNPL,"BNPL\n(Klarna, Affirm)","Early Internet (1998-2007)",2005,"Klarna; Affirm"
CFO Stack,"CFO Stack\n(Ramp, Brex, Mercury)","CFO Platform Wave (2017-2020)",2017,"Ramp; Brex; Mercury"
Insurtech,"Insurtech\n(Lemonade, Root, Oscar)","Neobank Wave (2013-2016)",2015,"Lemonade; Root; Oscar"
Lending / Credit,"Lending / Credit\n(SoFi, Upstart)","Early Internet (1998-2007)",2006,"SoFi; Upstart; LendingClub"
Wealthtech,"Wealthtech\n(Robinhood, eToro)","Post-Crisis + Crypto (2009-2013)",2013,"Robinhood; eToro"
Cross-Border,"Cross-Border\n(Wise, Remitly)","Post-Crisis + Crypto (2009-2013)",2011,"Wise; Remitly"
Embedded Finance,"Embedded Finance\n(Marqeta, Lithic, Unit)","API / Open Banking (2016-2019)",2016,"Marqeta; Lithic; Unit; Synctera"
Regtech,"Regtech\n(Chainalysis, ComplyAdv)","API / Open Banking (2016-2019)",2014,"Chainalysis; ComplyAdvantage"
Stablecoin Infra,"Stablecoin Infra\n(Circle, Bridge, BVNK)","CFO Platform Wave (2017-2020)",2018,"Circle; Bridge; BVNK"
Agentic Fintech Intersection,"Agentic Fintech Intersection\n(Payments, Wallets, Identity)","AI x Fintech (2024+)",2024,"Kite; Catena Labs; Skyfire; Natural; Crossmint; PayAI; UQPAY"
