year,category,late_plus_growth_b,category_total_b,late_stage_share_pct,source_id,source_url,source_capture_method,last_verified_utc,confidence,status,dataset_name,notes
2015,B2B Fintech Infrastructure,0.7694000000000001,2.0,38.470000000000006,fintech_funding_stage_model_v1,data/fintech_funding_data.py,modeled_stage_split_from_category_maturity_and_cycle,2026-02-09T18:41:00Z,medium,supported,fintech_category_maturity_late_stage_share_estimated,Category maturity proxy derived from modeled late+growth share.
2016,B2B Fintech Infrastructure,1.0184,2.5,40.736,fintech_funding_stage_model_v1,data/fintech_funding_data.py,modeled_stage_split_from_category_maturity_and_cycle,2026-02-09T18:41:00Z,medium,supported,fintech_category_maturity_late_stage_share_estimated,Category maturity proxy derived from modeled late+growth share.
2017,B2B Fintech Infrastructure,1.3031,3.0,43.43666666666666,fintech_funding_stage_model_v1,data/fintech_funding_data.py,modeled_stage_split_from_category_maturity_and_cycle,2026-02-09T18:41:00Z,medium,supported,fintech_category_maturity_late_stage_share_estimated,Category maturity proxy derived from modeled late+growth share.
2018,B2B Fintech Infrastructure,2.4878,5.0,49.756,fintech_funding_stage_model_v1,data/fintech_funding_data.py,modeled_stage_split_from_category_maturity_and_cycle,2026-02-09T18:41:00Z,medium,supported,fintech_category_maturity_late_stage_share_estimated,Category maturity proxy derived from modeled late+growth share.
2019,B2B Fintech Infrastructure,2.8941,5.5,52.62,fintech_funding_stage_model_v1,data/fintech_funding_data.py,modeled_stage_split_from_category_maturity_and_cycle,2026-02-09T18:41:00Z,medium,supported,fintech_category_maturity_late_stage_share_estimated,Category maturity proxy derived from modeled late+growth share.
2020,B2B Fintech Infrastructure,3.4107000000000003,7.0,48.72428571428572,fintech_funding_stage_model_v1,data/fintech_funding_data.py,modeled_stage_split_from_category_maturity_and_cycle,2026-02-09T18:41:00Z,medium,supported,fintech_category_maturity_late_stage_share_estimated,Category maturity proxy derived from modeled late+growth share.
2021,B2B Fintech Infrastructure,10.9544,18.0,60.85777777777778,fintech_funding_stage_model_v1,data/fintech_funding_data.py,modeled_stage_split_from_category_maturity_and_cycle,2026-02-09T18:41:00Z,medium,supported,fintech_category_maturity_late_stage_share_estimated,Category maturity proxy derived from modeled late+growth share.
2022,B2B Fintech Infrastructure,6.6765,12.0,55.637499999999996,fintech_funding_stage_model_v1,data/fintech_funding_data.py,modeled_stage_split_from_category_maturity_and_cycle,2026-02-09T18:41:00Z,medium,supported,fintech_category_maturity_late_stage_share_estimated,Category maturity proxy derived from modeled late+growth share.
2023,B2B Fintech Infrastructure,4.3674,10.0,43.674,fintech_funding_stage_model_v1,data/fintech_funding_data.py,modeled_stage_split_from_category_maturity_and_cycle,2026-02-09T18:41:00Z,medium,supported,fintech_category_maturity_late_stage_share_estimated,Category maturity proxy derived from modeled late+growth share.
2024,B2B Fintech Infrastructure,3.9533,8.0,49.41625,fintech_funding_stage_model_v1,data/fintech_funding_data.py,modeled_stage_split_from_category_maturity_and_cycle,2026-02-09T18:41:00Z,medium,supported,fintech_category_maturity_late_stage_share_estimated,Category maturity proxy derived from modeled late+growth share.
