milestone_id,status,target_window,milestone,source_memos,last_updated_utc,owner,notes
MS-001,open,Q1-2026,"FIS launches KYA/Know Your Agent framework for bank issuers","memos/investment-opportunities.md;memos/agent-fintech-intersection-deep-dive.md",2026-02-09T18:41:00Z,unassigned,
MS-002,open,Q1-2026,"UQPAY compliant x402 platform live signal","memos/investment-opportunities.md;memos/agent-fintech-intersection-deep-dive.md",2026-02-09T18:41:00Z,unassigned,
MS-003,open,Q1-2026,"OpenAI Frontier enterprise adoption signal","memos/investment-opportunities.md",2026-02-09T18:41:00Z,unassigned,
MS-004,open,Q1-2026,"Daytona Series A post-raise traction signal","memos/investment-opportunities.md",2026-02-09T18:41:00Z,unassigned,
MS-005,open,Q2-2026,"Visa TAP moves from pilot to production scale","memos/investment-opportunities.md;memos/agent-fintech-intersection-deep-dive.md",2026-02-09T18:41:00Z,unassigned,
MS-006,open,Q2-2026,"Stripe ACP expands beyond ChatGPT","memos/investment-opportunities.md;memos/agent-fintech-intersection-deep-dive.md",2026-02-09T18:41:00Z,unassigned,
MS-007,open,Q2-2026,"Mercury OCC charter decision","memos/investment-opportunities.md;memos/agent-fintech-intersection-deep-dive.md",2026-02-09T18:41:00Z,unassigned,
MS-008,open,Q2-2026,"GENIUS Act implementing regulations published","memos/investment-opportunities.md",2026-02-09T18:41:00Z,unassigned,
MS-009,open,H2-2026,"x402 organic transaction volume trend improves","memos/investment-opportunities.md;memos/agent-fintech-intersection-deep-dive.md",2026-02-09T18:41:00Z,unassigned,
MS-010,open,H2-2026,"Agent security becomes enterprise procurement requirement","memos/investment-opportunities.md;memos/agent-fintech-intersection-deep-dive.md",2026-02-09T18:41:00Z,unassigned,
MS-011,open,H2-2026,"First cross-protocol payment orchestration company emerges","memos/investment-opportunities.md;memos/agent-fintech-intersection-deep-dive.md",2026-02-09T18:41:00Z,unassigned,
MS-012,open,H2-2026,"Google UCP Phase 2 dynamic pricing/negotiation signal","memos/investment-opportunities.md;memos/agent-fintech-intersection-deep-dive.md",2026-02-09T18:41:00Z,unassigned,
MS-013,open,H2-2026,"Multi-agent systems mainstream enterprise inflection","memos/investment-opportunities.md",2026-02-09T18:41:00Z,unassigned,
MS-014,open,2027,"GENIUS Act effective date impact observed","memos/investment-opportunities.md;memos/agent-fintech-intersection-deep-dive.md",2026-02-09T18:41:00Z,unassigned,
MS-015,open,2027,"Agent-to-agent economies forming at scale","memos/investment-opportunities.md",2026-02-09T18:41:00Z,unassigned,
MS-016,open,2027,"Enterprise spending on agents reaches $15-20B annual run-rate","memos/investment-opportunities.md",2026-02-09T18:41:00Z,unassigned,
MS-017,open,2027,"Regulatory frameworks for agent financial identity mature","memos/investment-opportunities.md",2026-02-09T18:41:00Z,unassigned,
MS-018,open,2027,"First $1B/month agent-initiated transaction volume","memos/investment-opportunities.md",2026-02-09T18:41:00Z,unassigned,
MS-019,open,Q1-2026,"Kite mainnet on Avalanche evidence","memos/agent-fintech-intersection-deep-dive.md",2026-02-09T18:41:00Z,unassigned,
MS-020,open,Q2-2026,"PayAI dispute-resolution capability launches","memos/agent-fintech-intersection-deep-dive.md",2026-02-09T18:41:00Z,unassigned,
MS-021,open,H2-2026,"Consumer willingness for autonomous purchase improves from 33% baseline","memos/agent-fintech-intersection-deep-dive.md",2026-02-09T18:41:00Z,unassigned,
MS-022,open,H2-2026,"Total organic x402+ACP+AP2 volume crosses $1B annualized","memos/agent-fintech-intersection-deep-dive.md",2026-02-09T18:41:00Z,unassigned,
MS-023,open,2027,"Agent-to-agent marketplace reaches meaningful transaction volume","memos/agent-fintech-intersection-deep-dive.md",2026-02-09T18:41:00Z,unassigned,
MS-024,open,2027,"First $10B/year agent-initiated commerce milestone","memos/agent-fintech-intersection-deep-dive.md",2026-02-09T18:41:00Z,unassigned,
MS-025,open,2027,"Two to three dominant agent identity providers emerge","memos/agent-fintech-intersection-deep-dive.md",2026-02-09T18:41:00Z,unassigned,
